Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.
Ivana Petrovic,Luana Carolina,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,David Lethaby 28 - 29. Ron McCarthy 28 - 29. Tony Weeks 28 - 29.,Women's Flyweight Bout,UFC Fight Night: Strickland vs. Magomedov,"Las Vegas, Nevada, USA",7/1/23,3,-13,3,-6,3,-7,0,0,0,-7,-3,0,-4,0,0,1,0,1,-0.766666667,-19,-3,-16,0,-3,-3,3,-3,-3,-4,-1,2,0,1,0,0,0,0.566666667,-3,-10,6,-7,-9,-3,-6,-3,0,-4,-2,-3,0,0,1,2,0,-1.366666667
Alexandr Romanov,Blagoy Ivanov,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kerry Hatley,Mike Bell 27 - 30. Adalaide Byrd 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,UFC Fight Night: Strickland vs. Magomedov,"Las Vegas, Nevada, USA",7/1/23,3,4,-2,0,0,4,-2,-6,4,6,3,1,0,0,0,1,0,0,0.116666667,29,7,16,7,13,0,5,0,8,9,1,3,0,1,0,0,0,1.716666667,27,7,3,0,24,7,15,2,7,18,2,4,0,1,0,0,0,1.05
Neil Magny,Phil Rowe,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Barry Luxenberg 28 - 29. Chris Lee 29 - 28. Sal D'amato 28 - 29.,Welterweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,21,6,27,4,-6,2,-1,-1,-4,-7,1,0,0,0,1,0,0,0.3,19,6,18,3,1,3,1,2,-2,-3,4,0,0,-1,-1,0,0,-0.116666667,18,3,18,2,0,1,6,1,-7,-5,5,0,0,0,2,0,0,-0.3
Randy Brown,Wellington Turman,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Barry Luxenberg 28 - 29. Sal D'amato 28 - 29. Chris Lee 28 - 29.,Welterweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,5,11,-1,0,6,11,5,5,-4,7,-1,0,0,1,0,0,0,0.2,-14,10,-17,1,3,9,-1,-1,5,-2,5,0,0,1,-2,0,0,1.066666667,-9,0,-9,0,0,0,-2,3,-1,5,-5,0,0,0,-3,0,0,-1.566666667
Tabatha Ricci,Gillian Robertson,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 28 - 29. Barry Luxenberg 28 - 29. Chris Lee 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,16,12,-1,-3,17,15,13,-2,6,15,0,2,0,2,0,0,0,0.483333333,-5,34,0,1,-5,33,2,-1,-6,-4,-1,0,0,1,2,0,0,0.133333333,12,24,0,0,12,24,13,-4,3,10,2,0,0,-1,0,0,0,-0.416666667
Zhalgas Zhumagulov,Joshua Van,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Eric Colon 28 - 29. Barry Luxenberg 29 - 28. Sal D'amato 28 - 29.,Flyweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,-9,31,-10,3,1,28,-1,-1,3,2,-1,0,0,1,3,0,0,1.166666667,-13,7,0,0,-13,7,-13,-3,3,-2,-11,0,0,0,1,0,0,-0.016666667,-5,35,0,0,-5,35,-19,3,11,-5,0,0,0,0,-2,0,0,0
Trevor Peek,Chepe Mariscal,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Larry Folsom,Derek Cleary 27 - 30. Troy Wincapaw 27 - 30. Chris Lee 27 - 30.,Lightweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,-16,9,-14,-1,-2,10,-4,4,-2,7,-2,-7,0,-3,-1,-1,0,-1.483333333,-28,0,-29,-4,1,4,0,3,-2,2,2,-3,0,-1,-3,0,0,-1.683333333,-36,8,-17,-6,-19,14,-22,5,-2,-11,-8,0,0,0,-4,0,0,-0.933333333
Jamall Emmers,Jack Jenkins,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Andrew Glenn,Troy Wincapaw 30 - 27. Chris Lee 28 - 29. Sal D'amato 28 - 29.,Featherweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,1,28,0,0,1,28,-2,3,0,1,0,0,0,0,1,0,0,0,-2,14,1,1,-3,13,1,1,-5,-4,0,1,0,-1,0,0,1,-0.033333333,-8,-2,-8,1,0,-3,1,0,-1,1,0,-1,0,1,4,0,1,4.066666667
Cody Brundage,Sedriques Dumas,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Troy Wincapaw 27 - 30. Eric Colon 28 - 29. Derek Cleary 27 - 30.,Middleweight Bout,UFC Fight Night: Emmett vs. Topuria,"Jacksonville, Florida, USA",6/24/23,3,-28,-7,-18,-4,-10,-3,-10,-1,1,1,0,-11,0,1,0,0,-1,-4.25,-10,1,-6,-5,-4,6,-2,0,-2,-2,0,-2,0,0,1,0,0,-3.683333333,-8,-1,-8,0,0,-1,1,-1,0,1,-1,0,0,1,1,1,0,-1.316666667
Armen Petrosyan,Christian Leroy Duncan,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,Middleweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,10,5,0,0,10,5,0,0,10,9,1,0,0,0,1,0,0,0,21,4,5,1,16,3,13,6,-3,6,9,1,0,0,-3,0,0,0.383333333,7,-4,3,0,4,-4,1,1,2,4,0,0,0,1,0,0,0,1.816666667
Nicolas Dalby,Muslim Salikhov,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 27 - 30. Sal D'amato 27 - 30. Mike Bell 28 - 29.,Welterweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,-5,5,1,0,-6,5,-7,-5,6,-10,4,0,0,-1,0,0,0,-0.183333333,6,6,-1,0,7,6,4,2,1,-2,6,3,0,0,2,0,0,2.9,33,12,5,0,28,12,10,18,0,8,16,4,0,1,1,0,0,2.966666667
Carlos Hernandez,Denys Bondar,1,0,Decision - Unanimous,3,4:59,3 Rnd (5-5-5),Jerin Valel,Technical decision after clash of heads Ben Cartlidge 27 - 30. Anthony Maness 27 - 30. Junichiro Kamijo 28 - 29.,Flyweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,14,10,1,0,13,10,22,-6,-3,12,1,0,0,0,1,0,0,0,-3,27,3,0,-6,27,3,-7,-2,-8,3,-1,0,-1,1,0,0,-0.1,15,0,-4,0,19,0,25,-4,-2,6,6,7,0,1,0,0,0,0.283333333
Tereza Bleda,Gabriella Fernandes,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Sal D'amato 27 - 30. Tony Weeks 27 - 30.,Women's Flyweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,47,21,40,6,7,15,4,1,2,1,2,4,0,1,1,0,0,3.033333333,22,6,10,1,12,5,9,5,-2,-2,5,9,0,1,3,0,0,4.316666667,65,2,50,4,15,-2,14,1,0,-4,-1,20,0,1,3,0,0,3.333333333
Zac Pauga,Modestas Bukauskas,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Anthony Maness 27 - 30. Derek Cleary 28 - 29. Sal D'amato 28 - 29.,Light Heavyweight Bout,UFC Fight Night: Vettori vs. Cannonier,"Las Vegas, Nevada, USA",6/17/23,3,6,-2,4,0,2,-2,2,0,0,-1,2,1,0,1,2,0,0,2.066666667,4,4,0,0,4,4,-4,7,1,5,-1,0,0,0,1,0,0,0.15,0,-9,-5,-1,5,-8,-5,8,2,4,1,0,0,0,1,0,0,-1.266666667
Dan Ige,Nate Landwehr,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Lee 27 - 30. Sal D'amato 28 - 29. Mike Bell 28 - 29.,Featherweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,2,-1,0,0,2,-1,-1,3,0,5,-3,0,0,0,-2,0,0,0,11,-2,0,0,11,-2,8,3,0,11,-3,3,1,0,-1,0,0,0.366666667,1,-22,0,0,1,-22,0,0,1,7,-6,0,0,0,-1,0,0,-0.116666667
Marc-Andre Barriault,Eryk Anders,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 27 - 30. Mike Bell 27 - 30. Chris Lee 27 - 30.,Middleweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,-1,-6,6,0,-7,-6,5,-12,0,0,-9,2,1,0,-4,0,0,-1,0,10,0,0,0,10,-1,3,-2,6,-6,0,0,-1,-2,0,0,-0.983333333,17,7,-2,0,19,7,16,2,1,20,-1,0,0,0,-4,0,0,-0.65
Miranda Maverick,Jasmine Jasudavicius,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Sal D'amato 28 - 29. Sal Ram 28 - 29. Chris Lee 28 - 29.,Women's Flyweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,7,-17,-3,-11,10,-6,-1,5,6,7,3,0,0,-1,1,0,0,-2.683333333,-32,-19,-35,-13,3,-6,2,-3,4,8,-5,0,0,0,1,0,0,-3.35,-22,-20,-5,-5,-17,-15,-20,0,3,-12,-4,-1,0,0,1,0,0,-1.433333333
Kyle Nelson,Blake Bilder,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Sal Ram,Jerin Valel 27 - 30. Mike Bell 27 - 30. Jason Darrah 28 - 29.,Featherweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,-14,-1,-11,0,-3,-1,-5,6,-4,-5,2,0,0,0,-1,0,0,0.933333333,11,2,4,0,7,2,4,4,-1,7,0,0,0,0,-1,0,0,-1.233333333,2,-9,-8,0,10,-9,-1,8,3,10,0,0,0,0,0,0,0,-0.1
David Dvorak,Steve Erceg,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mitch Cadlick,Sal D'amato 28 - 29. Jake Maxim 28 - 29. Jerin Valel 27 - 30.,Flyweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,4,-14,0,0,4,-14,0,2,2,4,0,0,0,0,0,0,0,0,5,-7,0,0,5,-7,1,-2,6,4,-1,2,0,0,-1,-1,0,1.1,-9,-4,1,0,-10,-4,-3,-6,-1,-8,-2,0,0,-2,2,0,0,-0.633333333
Diana Belbita,Maria Oliveira,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Phil Koldyk,Jerin Valel 27 - 30. Jason Darrah 27 - 30. Chris Lee 28 - 29.,Women's Strawweight Bout,UFC 289: Nunes vs. Aldana,"Vancouver, British Columbia, Canada",6/10/23,3,24,1,11,-4,13,5,11,-2,4,5,4,4,0,-1,0,0,0,-0.966666667,30,0,15,-5,15,5,4,10,1,0,12,3,0,0,1,0,0,-1.133333333,15,-12,1,0,14,-12,11,1,2,9,5,0,0,0,-3,0,0,0.066666667
Alex Caceres,Daniel Pineda,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy 28 - 29. Junichiro Kamijo 28 - 29. Derek Cleary 28 - 29.,Featherweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,18,15,8,2,10,13,8,5,-3,1,5,4,0,-1,-4,-1,0,2.766666667,-12,-2,-8,-1,-4,-1,-6,2,0,-1,0,-3,0,-2,-1,0,0,-2.883333333,37,-2,10,0,27,-2,15,16,-4,23,4,0,0,1,-2,0,0,0.6
Tim Elliott,Victor Altamirano,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Ron McCarthy 27 - 30. Derek Cleary 27 - 30. Chris Lee 28 - 29.,Flyweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,-3,12,-10,13,7,-1,8,0,-1,-2,0,9,0,2,0,0,0,4.716666667,14,0,16,2,-2,-2,0,-1,-1,-5,1,2,0,1,1,0,0,2.066666667,40,32,36,20,4,12,4,-1,1,-2,-1,7,0,2,0,0,0,3.366666667
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 29 - 28. Bryan Miner 28 - 29. Ron McCarthy 28 - 29.,Welterweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,5,-22,3,-2,2,-20,2,-3,3,1,1,0,0,0,0,0,0,2.65,1,-10,10,-3,-9,-7,-1,-2,-6,-5,-4,0,0,1,0,0,0,2.233333333,-8,-22,-2,-3,-6,-19,-4,-2,0,0,-6,0,0,0,5,0,0,1.133333333
Daniel Santos,Johnny Munoz,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Tony Weeks 27 - 29. Chris Lee 27 - 29. Sal D'amato 27 - 29.,Bantamweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,-4,12,-3,0,-1,12,0,-1,0,-2,0,1,0,0,-3,-1,0,2.55,46,17,23,14,23,3,15,6,2,-4,2,25,0,1,-1,0,0,3.6,28,-2,18,-7,10,5,7,2,1,1,1,8,0,1,-2,0,1,3.316666667
John Castaneda,Muin Gafurov,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Tony Weeks 27 - 29. Chris Lee 27 - 29. Junichiro Kamijo 27 - 29.,Bantamweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,4,-8,7,1,-3,-9,-3,-2,2,-1,-4,2,1,0,-3,0,0,0.666666667,-19,-33,-5,-1,-14,-32,-9,-4,-1,-5,-9,0,0,1,1,0,0,-0.566666667,-8,-19,-4,-12,-4,-7,-3,-1,0,-4,0,0,0,2,-1,0,0,2.25
Elise Reed,Jinh Yu Frey,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Bryan Miner 28 - 29. Ron McCarthy 28 - 29. Mike Bell 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,20,9,17,6,3,3,-5,6,2,1,2,0,0,-2,-1,0,0,-1.65,19,-5,7,1,12,-6,5,3,4,10,2,0,0,-1,-1,0,0,-1.366666667,13,4,3,-3,10,7,1,8,1,8,2,0,0,0,-1,0,0,0.35
Philipe Lins,Maxim Grishin,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 28 - 29. Mike Bell 28 - 29. Adalaide Byrd 27 - 30.,Light Heavyweight Bout,UFC Fight Night: Kara-France vs. Albazi,"Las Vegas, Nevada, USA",6/3/23,3,-6,12,-7,0,1,12,-1,6,-4,1,0,0,0,0,-1,0,0,1.633333333,-24,6,-22,1,-2,5,1,2,-5,0,-2,0,0,1,1,0,0,2.55,-23,3,-28,-2,5,5,2,3,0,6,-1,0,0,0,-1,0,0,3.616666667
Emily Ducote,Loopy Godinez,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Junichiro Kamijo 28 - 29. Ron McCarthy 28 - 29.,Catch Weight Bout,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",5/20/23,3,-15,15,0,0,-15,15,-20,3,2,-14,-1,0,0,0,0,0,0,0.183333333,0,25,0,0,0,25,-8,4,4,4,-4,0,0,0,1,0,0,0,-1,3,4,-1,-5,4,-7,2,0,-5,0,0,0,-1,1,0,0,-0.216666667
Karolina Kowalkiewicz,Vanessa Demopoulos,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Derek Cleary 27 - 30. Jacob Montalvo 27 - 30.,Women's Strawweight Bout,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",5/20/23,3,6,-1,-8,0,14,-1,13,3,-2,12,2,0,0,0,-1,0,0,0.383333333,34,-36,1,1,33,-37,17,9,7,33,0,0,0,0,-2,0,0,0,25,-16,1,1,24,-17,15,5,4,24,0,0,0,0,-1,0,0,1.483333333
Ilir Latifi,Rodrigo Nascimento,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 28 - 29. Jacob Montalvo 29 - 28. Sal D'amato 28 - 29.,Heavyweight Bout,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",5/20/23,3,-6,-23,0,0,-6,-23,-18,6,6,-2,-4,0,0,0,1,0,0,0,21,-14,25,1,-4,-15,-5,2,-1,-5,-1,2,0,1,0,0,0,2.2,-15,-18,-6,0,-9,-18,-8,0,-1,-8,-1,0,0,1,4,0,0,1.633333333
Chase Hooper,Nick Fiore,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Junichiro Kamijo 26 - 30. Mike Bell 27 - 30. Tony Weeks 27 - 30.,Lightweight Bout,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",5/20/23,3,48,29,5,3,43,26,27,11,5,23,18,2,0,-1,1,0,0,-0.616666667,58,22,17,4,41,18,29,11,1,24,15,2,0,-2,5,1,0,-0.7,53,32,39,19,14,13,5,8,1,16,-2,0,0,0,-1,0,1,0.433333333
Takashi Sato,Themba Gorimbo,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Junichiro Kamijo 27 - 30. Tony Weeks 27 - 30.,Welterweight Bout,UFC Fight Night: Dern vs. Hill,"Las Vegas, Nevada, USA",5/20/23,3,-24,-12,-20,-8,-4,-4,1,-5,0,-1,-3,0,0,0,-1,0,-1,-3.433333333,-19,-13,-15,-4,-4,-9,-6,2,0,-4,9,-9,-1,0,2,0,-1,-2.1,-11,-3,-16,-10,5,7,5,0,0,-2,0,7,0,-1,-2,0,1,-3.366666667
Anthony Smith,Johnny Walker,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Brian Puccillo 28 - 29. Mike Bell 27 - 30. Junichiro Kamijo 27 - 30.,Light Heavyweight Bout,UFC Fight Night: Rozenstruik vs. Almeida,"Charlotte, North Carolina, USA",5/13/23,3,-16,-19,2,-1,-18,-18,-8,-1,-9,-9,-6,-3,0,0,1,0,0,1.266666667,-13,-12,0,0,-13,-12,1,-2,-12,-13,0,0,0,0,0,0,0,0,-29,-20,-6,-4,-23,-16,-6,4,-21,-21,0,-2,0,0,1,0,0,-0.433333333
Karl Williams,Chase Sherman,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Bobby Harris 27 - 30. Andrew Hopper Jr. 27 - 30. Junichiro Kamijo 28 - 29.,Heavyweight Bout,UFC Fight Night: Rozenstruik vs. Almeida,"Charlotte, North Carolina, USA",5/13/23,3,17,7,9,11,8,-4,8,2,-2,4,1,3,0,1,2,0,0,1.683333333,8,-3,-2,0,10,-3,12,1,-3,10,0,0,0,0,2,0,0,0.383333333,-4,-4,-2,-2,-2,-2,7,-7,-2,5,-7,0,0,0,5,0,0,0.316666667
Cody Stamann,Douglas Silva de Andrade,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Wayne Spinola,Bobby Harris 28 - 29. Andrew Hopper Jr. 28 - 29. Pedro Claudio 28 - 29.,Catch Weight Bout,UFC Fight Night: Rozenstruik vs. Almeida,"Charlotte, North Carolina, USA",5/13/23,3,-9,-24,0,0,-9,-24,1,-2,-8,-8,-1,0,0,1,0,0,0,0.1,-7,-1,0,0,-7,-1,6,-8,-5,-7,0,0,0,0,3,0,0,0.35,10,-6,1,1,9,-7,16,-4,-3,4,0,5,1,0,0,0,0,1.533333333
Ji Yeon Kim,Mandy Bohm,0,1,Decision - Split,3,1:55,3 Rnd (5-5-5),Larry Carter,technical decision after accidental foul Mike Bell 27 - 28. Bobby Harris 28 - 27. Junichiro Kamijo 27 - 28.,Women's Flyweight Bout,UFC Fight Night: Rozenstruik vs. Almeida,"Charlotte, North Carolina, USA",5/13/23,3,-6,1,-4,-3,-2,4,-1,0,-1,0,0,-2,0,-1,-1,-1,0,0.733333333,2,0,5,-6,-3,6,-3,2,-2,-3,0,0,0,-1,-2,1,0,0.2,11,3,13,1,-2,2,0,-2,0,0,-2,0,0,0,0,0,0,0.716666667
Movsar Evloev,Diego Lopes,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Derek Cleary 28 - 29. Eric Colon 28 - 29. Dave Tirelli 27 - 30.,Featherweight Bout,UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",5/6/23,3,37,-2,38,2,-1,-4,1,1,-3,-4,1,2,0,1,1,-1,0,3.15,69,13,40,0,29,13,30,-1,0,12,0,17,0,1,0,0,0,2.333333333,29,0,6,0,23,0,16,-1,8,10,7,6,0,2,2,-3,-1,2.333333333
Kron Gracie,Charles Jourdain,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Gary Copeland,Derek Cleary 27 - 30. Eric Colon 27 - 30. Dave Tirelli 27 - 30.,Featherweight Bout,UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",5/6/23,3,14,-12,23,3,-9,-15,-15,-2,8,-3,-6,0,0,0,0,0,0,-1.066666667,13,-15,24,7,-11,-22,-12,-3,4,-2,-4,-5,0,0,0,0,0,-2.816666667,-31,-19,-3,7,-28,-26,-14,-8,-6,-17,-6,-5,0,0,0,0,0,-2.2
Khaos Williams,Rolando Bedoya,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Mike Bell 28 - 29. Dominic Carolei 28 - 29. Derek Cleary 30 - 27.,Welterweight Bout,UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",5/6/23,3,0,32,0,0,0,32,-5,6,-1,5,-5,0,0,0,-1,0,0,0.8,-1,31,0,0,-1,31,-8,5,2,0,-1,0,0,0,0,0,0,0.3,-18,30,0,0,-18,30,-22,3,1,-15,-3,0,0,0,-1,0,0,0
Marina Rodriguez,Virna Jandiroba,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vitor Ribeiro,Mike Bell 28 - 29. Dominic Carolei 28 - 29. Maimunah Querido 27 - 30.,Women's Strawweight Bout,UFC 288: Sterling vs. Cejudo,"Newark, New Jersey, USA",5/6/23,3,-13,-6,-16,-5,3,-1,2,0,1,1,0,2,0,-1,0,0,0,-4.6,-7,0,-1,-1,-6,1,-9,3,0,0,-1,-5,0,-1,-3,0,-1,-4.016666667,44,16,35,3,9,13,9,1,-1,2,-1,8,0,-1,-1,0,0,-3.333333333
Marcos Rogerio de Lima,Waldo Cortes-Acosta,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29. Eric Colon 28 - 29. Anthony Maness 28 - 29.,Heavyweight Bout,UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",4/29/23,3,10,-12,3,0,7,-12,0,-5,12,9,-3,1,0,1,0,0,0,1.016666667,4,-12,8,2,-4,-14,-7,-2,5,-6,2,0,0,2,2,0,0,3,-26,-25,0,0,-26,-25,-27,0,1,-26,0,0,0,0,1,0,0,0.433333333
Josh Quinlan,Trey Waters,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 27 - 30. Chris Lee 27 - 30. Tony Weeks 27 - 30.,Welterweight Bout,UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",4/29/23,3,-18,5,-1,0,-17,5,-18,-4,5,-19,1,1,0,1,3,0,0,0.766666667,-17,-21,0,0,-17,-21,-24,3,4,-17,0,0,0,0,2,0,0,0,-21,-5,-1,0,-20,-5,-25,0,5,-20,0,0,0,-1,1,0,0,-0.316666667
Martin Buday,Jake Collier,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Sal D'amato 28 - 29. Junichiro Kamijo 28 - 29. Anthony Maness 28 - 29.,Heavyweight Bout,UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",4/29/23,3,-18,-35,0,-5,-18,-30,-12,-5,-1,-17,1,-2,0,0,0,0,0,-0.616666667,22,0,11,1,11,-1,2,8,1,6,5,0,0,0,0,0,0,-2.2,34,0,23,3,11,-3,13,-1,-1,6,-2,7,0,0,-1,0,0,0.05
Cody Durden,Charles Johnson,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Mike Bell 27 - 30. Adalaide Byrd 27 - 30. Sal D'amato 27 - 30.,Flyweight Bout,UFC Fight Night: Song vs. Simon,"Las Vegas, Nevada, USA",4/29/23,3,20,1,14,2,6,-1,4,-2,4,5,0,1,0,4,2,-1,0,3.583333333,-1,-4,0,2,-1,-6,4,-7,2,-4,-2,5,0,4,2,0,0,3.216666667,1,2,2,1,-1,1,1,-1,-1,-1,0,0,0,3,3,0,0,2.616666667
