Fighter1,Fighter2,F1 Winner?,F2 Winner?,Fight Method,Round,Time,Time Format,Referee,Finish Details or Judges Scorecard,Bout,Event Name,Location,Date,Rounds,Total Strike Landed R1  Disp.,Total Strike Missed R1  Disp.,Non-Sig. Strike Landed R1  Disp.,Non-Sig. Strike Missed R1  Disp.,Sig. Strike Landed R1  Disp.,Sig. Strike Missed R1  Disp.,Head R1  Disp.,Body R1  Disp.,Leg R1  Disp.,Distance R1  Disp.,Clinch R1  Disp.,Ground R1  Disp.,Knockdowns R1  Disp.,TD Completed R1  Disp.,TD Missed R1  Disp.,Sub. Att R1  Disp.,Rev. R1  Disp.,Ctrl Time (Minutes) R1  Disp.,Total Strike Landed R2  Disp.,Total Strike Missed R2  Disp.,Non-Sig. Strike Landed R2  Disp.,Non-Sig. Strike Missed R2  Disp.,Sig. Strike Landed R2  Disp.,Sig. Strike Missed R2  Disp.,Head R2  Disp.,Body R2  Disp.,Leg R2  Disp.,Distance R2  Disp.,Clinch R2  Disp.,Ground R2  Disp.,Knockdowns R2  Disp.,TD Completed R2  Disp.,TD Missed R2  Disp.,Sub. Att R2  Disp.,Rev. R2  Disp.,Ctrl Time (Minutes) R2  Disp.,Total Strike Landed R3  Disp.,Total Strike Missed R3  Disp.,Non-Sig. Strike Landed R3  Disp.,Non-Sig. Strike Missed R3  Disp.,Sig. Strike Landed R3  Disp.,Sig. Strike Missed R3  Disp.,Head R3  Disp.,Body R3  Disp.,Leg R3  Disp.,Distance R3  Disp.,Clinch R3  Disp.,Ground R3  Disp.,Knockdowns R3  Disp.,TD Completed R3  Disp.,TD Missed R3  Disp.,Sub. Att R3  Disp.,Rev. R3  Disp.,Ctrl Time (Minutes) R3  Disp.
John Dodson,Eddie Wineland,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Anthony Maness 28 - 29. Roy Silbert 27 - 30. Eric Colon 27 - 30.,Bantamweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",4/22/17,3,11,-18,0,0,11,-18,2,6,3,11,0,0,0,0,1,0,0,0,8,-30,0,0,8,-30,3,5,0,8,0,0,0,0,0,0,0,0,8,-14,0,0,8,-14,4,3,1,7,1,0,0,0,0,0,0,0
Joe Lauzon,Stevie Ray,0,1,Decision - Majority,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Chris Lee 27 - 28. Jeff Mullen 27 - 29. Dave Tirelli 28 - 28.,Lightweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",4/22/17,3,21,1,6,0,15,1,18,-2,-1,-3,0,18,0,3,0,1,0,4.383333333,-20,-24,-4,-1,-16,-23,-12,-4,0,-14,-4,2,0,1,1,0,0,1.933333333,-75,-43,-13,-8,-62,-35,-58,-4,0,-30,-13,-19,0,1,1,-1,0,1.283333333
Thales Leites,Sam Alvey,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Chris Lee 27 - 30. Dave Tirelli 27 - 30. Anthony Maness 27 - 30.,Middleweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",4/22/17,3,6,-13,0,0,6,-13,-5,1,10,7,-1,0,0,0,1,0,0,0,-4,-5,-5,1,1,-6,-3,-3,7,5,-4,0,0,1,2,0,0,0.983333333,-8,-13,-12,0,4,-13,-6,3,7,5,-1,0,0,0,3,0,0,0.3
Scott Holtzman,Michael McBride,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 27 - 30. Dave Tirelli 27 - 30. Chris Lee 26 - 30.,Lightweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",4/22/17,3,-23,-13,-16,0,-7,-13,2,-6,-3,-7,0,0,1,-1,2,-1,0,0.933333333,-3,2,-13,-2,10,4,9,-3,4,-6,1,15,0,-1,-2,0,1,2.316666667,-5,4,-23,-2,18,6,9,-2,11,4,0,14,0,1,-1,-1,0,2.5
Jessica Penne,Danielle Taylor,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Eric Colon 28 - 29. Jeff Mullen 28 - 29. Roy Silbert 28 - 29.,Women's Strawweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",4/22/17,3,-4,-3,-1,0,-3,-3,-4,7,-6,-3,0,0,0,0,0,0,0,0,-1,-2,-3,0,2,-2,-3,10,-5,-4,6,0,0,0,0,0,0,0,0,9,2,-1,-2,10,1,3,-6,-5,3,0,0,1,1,0,0,0.483333333
Alexis Davis,Cindy Dandois,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee 28 - 29. Jeff Mullen 28 - 29. Roy Silbert 28 - 29.,Women's Bantamweight Bout,UFC Fight Night: Swanson vs. Lobov,"Nashville, Tennessee, USA",4/22/17,3,-1,-7,-1,-6,0,-1,-1,1,0,1,0,-1,0,-1,0,0,1,-1.133333333,20,-19,17,0,3,-19,-4,4,3,4,0,-1,0,-1,-4,0,0,0.4,-4,-9,-5,-2,1,-7,-8,6,3,2,1,-2,0,-3,0,2,0,-3.2
Jeremy Stephens,Renato Moicano,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Mike England,Tony Weeks 28 - 29. Marcos Rosales 29 - 28. Brian Puccillo 28 - 29.,Featherweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",4/15/17,3,-5,16,8,-1,-13,17,-1,0,-12,-10,0,-3,0,-1,0,0,0,-1.5,0,37,0,0,0,37,-8,3,5,-1,1,0,0,0,0,0,0,0,2,51,3,0,-1,51,-2,1,0,-2,1,0,0,-1,-2,0,0,-0.766666667
Alexander Volkov,Roy Nelson,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Henry Guery 27 - 30. Rob Francis 27 - 30. Sal D'amato 27 - 30.,Heavyweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",4/15/17,3,20,5,0,0,20,5,13,3,4,15,6,-1,0,-1,-2,0,0,-2.816666667,29,16,-5,0,34,16,30,5,-1,34,0,0,0,0,-3,0,0,-1.116666667,36,4,0,0,36,4,16,12,8,31,5,0,0,0,-2,0,0,-0.216666667
King Green,Rashid Magomedov,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Brian Puccillo 28 - 29. Rob Francis 29 - 28. Cardo Urso 28 - 29.,Lightweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",4/15/17,3,11,-16,2,1,9,-17,-9,3,15,2,8,-1,0,0,3,0,0,1.25,4,-27,6,1,-2,-28,-6,-3,7,-4,2,0,0,0,0,0,0,0.7,1,1,8,2,-7,-1,-14,-1,8,-7,0,0,0,0,2,0,0,0.516666667
Louis Smolka,Tim Elliott,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike England,Marcos Rosales 27 - 30. Henry Guery 27 - 30. Tony Weeks 27 - 30.,Flyweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",4/15/17,3,-37,3,-20,-1,-17,4,-3,-10,-4,-7,-8,-2,0,-5,2,0,2,-2.266666667,-8,5,-14,-2,6,7,6,1,-1,3,1,2,0,-3,1,0,-1,-1.95,-6,12,-1,1,-5,11,-2,-2,-1,1,-2,-4,0,-3,-2,1,0,-1.183333333
Aljamain Sterling,Augusto Mendes,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Cardo Urso 28 - 29. Sal D'amato 28 - 29. Marcos Rosales 28 - 29.,Bantamweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",4/15/17,3,10,10,-4,-2,14,12,-2,16,0,0,0,14,-1,1,0,0,-1,3.2,35,5,24,0,11,5,3,8,0,6,1,4,0,1,-2,0,0,-0.133333333,41,0,13,0,28,0,11,15,2,23,5,0,0,0,3,0,0,-0.3
Devin Clark,Jake Collier,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Rob Francis 27 - 30. Cardo Urso 27 - 30. Sal D'amato 26 - 30.,Light Heavyweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",4/15/17,3,15,-1,21,2,-6,-3,0,-3,-3,-1,-10,5,0,1,-1,0,0,0.633333333,20,0,12,-1,8,1,3,3,2,5,1,2,0,1,3,0,0,0.6,72,10,42,7,30,3,22,6,2,1,0,29,0,2,-1,-1,0,4.316666667
Ashlee Evans-Smith,Ketlen Vieira,0,1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,28 - 29. 28 - 29. 27 - 30.,Women's Bantamweight Bout,UFC on FOX: Johnson vs. Reis,"Kansas City, Missouri, USA",4/15/17,3,24,-28,13,-1,11,-27,-10,4,17,7,4,0,0,0,-1,0,0,-1.683333333,6,-10,13,3,-7,-13,-13,1,5,-6,0,-1,0,-1,2,0,0,-1.216666667,-19,-1,-12,2,-7,-3,-13,1,5,-6,-1,0,0,0,0,0,0,-1.116666667
Thiago Alves,Patrick Cote,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Jeff Mullen 27 - 30. Sal D'amato 27 - 30. Derek Cleary 27 - 30.,Welterweight Bout,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",4/8/17,3,32,4,18,0,14,4,16,-5,3,0,1,13,1,0,0,0,0,0.916666667,12,-5,2,0,10,-5,-1,2,9,8,2,0,1,0,0,0,0,0.016666667,8,-9,-3,-1,11,-8,2,2,7,8,0,3,0,1,-1,0,0,1.216666667
Kamaru Usman,Sean Strickland,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 27 - 30. Jeff Mullen 26 - 30. Dave Tirelli 26 - 30.,Welterweight Bout,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",4/8/17,3,30,1,11,-2,19,3,9,3,7,-3,6,16,0,1,4,0,0,4.3,32,9,8,2,24,7,9,12,3,9,0,15,1,0,2,0,0,2.416666667,25,-5,5,0,20,-5,6,7,7,13,-1,8,0,1,0,0,0,1.416666667
Patrick Cummins,Jan Blachowicz,1,0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Derek Cleary 28 - 29. Sal D'amato 28 - 29. Doug Crosby 28 - 28.,Light Heavyweight Bout,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",4/8/17,3,-14,2,1,2,-15,0,-11,-4,0,-9,-6,0,-1,1,5,0,0,0.783333333,9,-1,1,-1,8,0,2,5,1,-6,1,13,0,0,0,0,0,2.016666667,46,5,19,3,27,2,28,0,-1,1,11,15,0,1,1,0,0,3.65
Josh Emmett,Desmond Green,0,1,Decision - Split,3,5:00,3 Rnd (5-5-5),Keith Peterson,Eric Colon 29 - 28. Doug Crosby 28 - 29. Sal D'amato 27 - 30.,Lightweight Bout,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",4/8/17,3,0,15,0,0,0,15,-8,3,5,0,0,0,0,0,0,0,0,0,-13,4,0,0,-13,4,-17,3,1,-13,0,0,0,0,1,0,0,0,-10,13,-7,-2,-3,15,-13,2,8,0,0,-3,0,-1,-1,0,0,-0.55
Katlyn Cerminara,Irene Aldana,1,0,Decision - Split,3,5:00,3 Rnd (5-5-5),Todd Ronald Anderson,Jeff Mullen 28 - 29. Eric Colon 28 - 29. Derek Cleary 29 - 28.,Women's Bantamweight Bout,UFC 210: Cormier vs. Johnson 2,"Buffalo, New York, USA",4/8/17,3,8,12,0,0,8,12,0,8,0,7,1,0,0,0,3,0,0,0.116666667,2,4,0,0,2,4,-1,6,-3,2,0,0,0,0,4,0,0,0.15,11,13,0,0,11,13,1,4,6,13,-2,0,0,0,4,0,0,0.033333333
